Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
MODULE                                                                  TYPE                  SHAPE
unet.d_blocks.3.resblocks.0.norm1                                       AdaGroupNorm          (2, 64, 8, 8)
unet.d_blocks.3.resblocks.0.conv1                                       Conv2d                (2, 64, 8, 8)
unet.d_blocks.3.resblocks.0.norm2.linear                                Linear                (2, 128)
unet.d_blocks.3.resblocks.0.norm2                                       AdaGroupNorm          (2, 64, 8, 8)
unet.d_blocks.3.resblocks.0.conv2                                       Conv2d                (2, 64, 8, 8)
unet.d_blocks.3.resblocks.0.attn                                        Identity              (2, 64, 8, 8)
unet.d_blocks.3.resblocks.0                                             ResBlock              (2, 64, 8, 8)
unet.d_blocks.3.resblocks.1.proj                                        Identity              (2, 64, 8, 8)
unet.d_blocks.3.resblocks.1.norm1.linear                                Linear                (2, 128)
unet.d_blocks.3.resblocks.1.norm1                                       AdaGroupNorm          (2, 64, 8, 8)
unet.d_blocks.3.resblocks.1.conv1                                       Conv2d                (2, 64, 8, 8)
unet.d_blocks.3.resblocks.1.norm2.linear                                Linear                (2, 128)
unet.d_blocks.3.resblocks.1.norm2                                       AdaGroupNorm          (2, 64, 8, 8)
unet.d_blocks.3.resblocks.1.conv2                                       Conv2d                (2, 64, 8, 8)
unet.d_blocks.3.resblocks.1.attn                                        Identity              (2, 64, 8, 8)
unet.d_blocks.3.resblocks.1                                             ResBlock              (2, 64, 8, 8)
unet.d_blocks.3[0]                                                      ResBlocks             (2, 64, 8, 8)
unet.d_blocks.3[1][0]                                                   ResBlocks             (2, 64, 8, 8)
unet.d_blocks.3[1][1]                                                   ResBlocks             (2, 64, 8, 8)
unet.mid_blocks.resblocks.0.proj                                        Identity              (2, 64, 8, 8)
unet.mid_blocks.resblocks.0.norm1.linear                                Linear                (2, 128)
unet.mid_blocks.resblocks.0.norm1                                       AdaGroupNorm          (2, 64, 8, 8)
unet.mid_blocks.resblocks.0.conv1                                       Conv2d                (2, 64, 8, 8)
unet.mid_blocks.resblocks.0.norm2.linear                                Linear                (2, 128)
unet.mid_blocks.resblocks.0.norm2                                       AdaGroupNorm          (2, 64, 8, 8)
unet.mid_blocks.resblocks.0.conv2                                       Conv2d                (2, 64, 8, 8)
unet.mid_blocks.resblocks.0.attn.norm.norm                              GroupNorm             (2, 64, 8, 8)
unet.mid_blocks.resblocks.0.attn.norm                                   GroupNorm             (2, 64, 8, 8)
unet.mid_blocks.resblocks.0.attn.qkv_proj                               Conv2d                (2, 192, 8, 8)
unet.mid_blocks.resblocks.0.attn.out_proj                               Conv2d                (2, 64, 8, 8)
unet.mid_blocks.resblocks.0.attn                                        SelfAttention2d       (2, 64, 8, 8)
unet.mid_blocks.resblocks.0                                             ResBlock              (2, 64, 8, 8)
unet.mid_blocks.resblocks.1.proj                                        Identity              (2, 64, 8, 8)
unet.mid_blocks.resblocks.1.norm1.linear                                Linear                (2, 128)
unet.mid_blocks.resblocks.1.norm1                                       AdaGroupNorm          (2, 64, 8, 8)
unet.mid_blocks.resblocks.1.conv1                                       Conv2d                (2, 64, 8, 8)
unet.mid_blocks.resblocks.1.norm2.linear                                Linear                (2, 128)
unet.mid_blocks.resblocks.1.norm2                                       AdaGroupNorm          (2, 64, 8, 8)
unet.mid_blocks.resblocks.1.conv2                                       Conv2d                (2, 64, 8, 8)
unet.mid_blocks.resblocks.1.attn.norm.norm                              GroupNorm             (2, 64, 8, 8)
unet.mid_blocks.resblocks.1.attn.norm                                   GroupNorm             (2, 64, 8, 8)
unet.mid_blocks.resblocks.1.attn.qkv_proj                               Conv2d                (2, 192, 8, 8)
unet.mid_blocks.resblocks.1.attn.out_proj                               Conv2d                (2, 64, 8, 8)
unet.mid_blocks.resblocks.1.attn                                        SelfAttention2d       (2, 64, 8, 8)
unet.mid_blocks.resblocks.1                                             ResBlock              (2, 64, 8, 8)
unet.mid_blocks[0]                                                      ResBlocks             (2, 64, 8, 8)
unet.mid_blocks[1][0]                                                   ResBlocks             (2, 64, 8, 8)
unet.mid_blocks[1][1]                                                   ResBlocks             (2, 64, 8, 8)
unet.upsamples.0                                                        Identity              (2, 64, 8, 8)
unet.u_blocks.0.resblocks.0.proj                                        Conv2d                (2, 64, 8, 8)
unet.u_blocks.0.resblocks.0.norm1.linear                                Linear                (2, 256)
unet.u_blocks.0.resblocks.0.norm1                                       AdaGroupNorm          (2, 128, 8, 8)
unet.u_blocks.0.resblocks.0.conv1                                       Conv2d                (2, 64, 8, 8)
unet.u_blocks.0.resblocks.0.norm2.linear                                Linear                (2, 128)
unet.u_blocks.0.resblocks.0.norm2                                       AdaGroupNorm          (2, 64, 8, 8)
unet.u_blocks.0.resblocks.0.conv2                                       Conv2d                (2, 64, 8, 8)
unet.u_blocks.0.resblocks.0.attn                                        Identity              (2, 64, 8, 8)
unet.u_blocks.0.resblocks.0                                             ResBlock              (2, 64, 8, 8)
unet.u_blocks.0.resblocks.1.proj                                        Conv2d                (2, 64, 8, 8)
unet.u_blocks.0.resblocks.1.norm1.linear                                Linear                (2, 256)
unet.u_blocks.0.resblocks.1.norm1                                       AdaGroupNorm          (2, 128, 8, 8)
unet.u_blocks.0.resblocks.1.conv1                                       Conv2d                (2, 64, 8, 8)
unet.u_blocks.0.resblocks.1.norm2.linear                                Linear                (2, 128)
unet.u_blocks.0.resblocks.1.norm2                                       AdaGroupNorm          (2, 64, 8, 8)
unet.u_blocks.0.resblocks.1.conv2                                       Conv2d                (2, 64, 8, 8)
unet.u_blocks.0.resblocks.1.attn                                        Identity              (2, 64, 8, 8)
