site,repr,sigma_idx,target,metric,value,alpha
s2_d_stage3,flat,1,left_paddle_y,r2,0.8917958736419678,10.0
s2_d_stage3,flat,1,right_paddle_y,r2,0.8914939761161804,10.0
s2_d_stage3,flat,1,collision_imminent,auc,0.9011486428513621,10.0
s2_d_stage3,flat,2,ball_x,r2,0.8957525491714478,1.0
s2_d_stage3,flat,2,ball_y,r2,0.9953913688659668,1.0
s2_d_stage3,flat,2,ball_vx,r2,0.4545634984970093,1.0
s2_d_stage3,flat,2,ball_vy,r2,0.7878207564353943,1.0
s2_d_stage3,flat,2,left_paddle_y,r2,0.9983837008476257,1.0
s2_d_stage3,flat,2,right_paddle_y,r2,0.9955887794494629,1.0
s2_d_stage3,flat,2,collision_imminent,auc,0.9972955808618889,1.0
s3_mid,pooled,0,ball_x,r2,0.001079559326171875,100.0
s3_mid,pooled,0,ball_y,r2,-0.02793407440185547,10.0
s3_mid,pooled,0,ball_vx,r2,-0.00016987323760986328,100.0
s3_mid,pooled,0,ball_vy,r2,-0.020549893379211426,100.0
s3_mid,pooled,0,left_paddle_y,r2,-0.03159439563751221,10.0
s3_mid,pooled,0,right_paddle_y,r2,0.007550656795501709,1.0
s3_mid,pooled,0,collision_imminent,auc,0.5350804723413155,0.01
s3_mid,pooled,1,ball_x,r2,0.014976203441619873,0.01
s3_mid,pooled,1,ball_y,r2,0.012045204639434814,0.01
s3_mid,pooled,1,ball_vx,r2,0.002890467643737793,10.0
s3_mid,pooled,1,ball_vy,r2,-0.004315733909606934,0.01
s3_mid,pooled,1,left_paddle_y,r2,0.011318624019622803,0.01
s3_mid,pooled,1,right_paddle_y,r2,0.04087334871292114,0.1
s3_mid,pooled,1,collision_imminent,auc,0.5920278356594286,0.01
s3_mid,pooled,2,ball_x,r2,0.20258867740631104,0.01
s3_mid,pooled,2,ball_y,r2,0.23660868406295776,0.01
s3_mid,pooled,2,ball_vx,r2,0.028617262840270996,0.01
s3_mid,pooled,2,ball_vy,r2,0.07935982942581177,0.01
s3_mid,pooled,2,left_paddle_y,r2,0.23490411043167114,0.01
s3_mid,pooled,2,right_paddle_y,r2,0.3848399519920349,0.01
s3_mid,pooled,2,collision_imminent,auc,0.8542349929889562,0.01
s3_mid,flat,0,ball_x,r2,0.12074422836303711,10000.0
s3_mid,flat,0,ball_y,r2,0.6469697952270508,100.0
s3_mid,flat,0,ball_vx,r2,0.00942760705947876,10000.0
s3_mid,flat,0,ball_vy,r2,0.10890692472457886,10000.0
s3_mid,flat,0,left_paddle_y,r2,0.6638401746749878,100.0
s3_mid,flat,0,right_paddle_y,r2,0.6477149724960327,1000.0
s3_mid,flat,0,collision_imminent,auc,0.8263060287674904,1000.0
s3_mid,flat,1,ball_x,r2,0.2899373173713684,1000.0
s3_mid,flat,1,ball_y,r2,0.8732016682624817,100.0
s3_mid,flat,1,ball_vx,r2,0.05084800720214844,1000.0
s3_mid,flat,1,ball_vy,r2,0.19797027111053467,1000.0
s3_mid,flat,1,left_paddle_y,r2,0.8902724385261536,10.0
s3_mid,flat,1,right_paddle_y,r2,0.8925123810768127,100.0
s3_mid,flat,1,collision_imminent,auc,0.9020384866043729,100.0
s3_mid,flat,2,ball_x,r2,0.9075181484222412,1.0
s3_mid,flat,2,ball_y,r2,0.9948813319206238,1.0
s3_mid,flat,2,ball_vx,r2,0.4433369040489197,10.0
s3_mid,flat,2,ball_vy,r2,0.7817532420158386,1.0
s3_mid,flat,2,left_paddle_y,r2,0.9977615475654602,1.0
s3_mid,flat,2,right_paddle_y,r2,0.9951595067977905,1.0
s3_mid,flat,2,collision_imminent,auc,0.9972580561082286,1.0
s4_u_stage1,pooled,0,ball_x,r2,0.0031843185424804688,0.01
s4_u_stage1,pooled,0,ball_y,r2,0.0024828314781188965,0.01
s4_u_stage1,pooled,0,ball_vx,r2,0.0014162659645080566,0.01
s4_u_stage1,pooled,0,ball_vy,r2,-0.001967787742614746,0.01
s4_u_stage1,pooled,0,left_paddle_y,r2,0.0015100836753845215,0.01
s4_u_stage1,pooled,0,right_paddle_y,r2,0.004077017307281494,0.1
s4_u_stage1,pooled,0,collision_imminent,auc,0.5277551333355917,0.01
s4_u_stage1,pooled,1,ball_x,r2,0.016952455043792725,0.01
s4_u_stage1,pooled,1,ball_y,r2,0.032350778579711914,0.01
s4_u_stage1,pooled,1,ball_vx,r2,0.007320225238800049,0.01
s4_u_stage1,pooled,1,ball_vy,r2,0.010230422019958496,0.01
s4_u_stage1,pooled,1,left_paddle_y,r2,0.0318484902381897,0.01
s4_u_stage1,pooled,1,right_paddle_y,r2,0.02702486515045166,0.01
s4_u_stage1,pooled,1,collision_imminent,auc,0.5666091760395725,0.01
s4_u_stage1,pooled,2,ball_x,r2,0.06041157245635986,0.01
s4_u_stage1,pooled,2,ball_y,r2,0.08300262689590454,0.01
s4_u_stage1,pooled,2,ball_vx,r2,0.022916853427886963,0.01
s4_u_stage1,pooled,2,ball_vy,r2,0.04147392511367798,0.01
s4_u_stage1,pooled,2,left_paddle_y,r2,0.08258360624313354,0.01
s4_u_stage1,pooled,2,right_paddle_y,r2,0.2220790982246399,0.01
s4_u_stage1,pooled,2,collision_imminent,auc,0.6925087812994477,0.01
s5_u_stage3,pooled,0,ball_x,r2,0.007916450500488281,0.01
s5_u_stage3,pooled,0,ball_y,r2,0.0347713828086853,0.01
s5_u_stage3,pooled,0,ball_vx,r2,0.001042783260345459,0.01
s5_u_stage3,pooled,0,ball_vy,r2,0.011611998081207275,0.01
s5_u_stage3,pooled,0,left_paddle_y,r2,0.03371769189834595,0.01
s5_u_stage3,pooled,0,right_paddle_y,r2,-9.679794311523438e-05,100.0
s5_u_stage3,pooled,0,collision_imminent,auc,0.5592206534621453,0.01
s5_u_stage3,pooled,1,ball_x,r2,0.008692741394042969,0.01
s5_u_stage3,pooled,1,ball_y,r2,0.036280155181884766,0.01
s5_u_stage3,pooled,1,ball_vx,r2,0.0016096830368041992,0.01
s5_u_stage3,pooled,1,ball_vy,r2,0.01024240255355835,0.01
s5_u_stage3,pooled,1,left_paddle_y,r2,0.035419464111328125,0.01
s5_u_stage3,pooled,1,right_paddle_y,r2,-0.0006392002105712891,100.0
s5_u_stage3,pooled,1,collision_imminent,auc,0.5740352233706599,0.01
s5_u_stage3,pooled,2,ball_x,r2,0.008577108383178711,0.01
s5_u_stage3,pooled,2,ball_y,r2,0.03613781929016113,0.01
s5_u_stage3,pooled,2,ball_vx,r2,0.0012291669845581055,0.01
s5_u_stage3,pooled,2,ball_vy,r2,0.010822653770446777,0.01
s5_u_stage3,pooled,2,left_paddle_y,r2,0.03524315357208252,0.01
s5_u_stage3,pooled,2,right_paddle_y,r2,-0.0005631446838378906,100.0
s5_u_stage3,pooled,2,collision_imminent,auc,0.5821115645408522,0.01
