site,repr,sigma_idx,target,metric,value,alpha
s2_d_stage3,flat,1,ball_y,r2,-0.00046837329864501953,10000.0
s2_d_stage3,flat,1,ball_vx,r2,-0.0010662078857421875,10000.0
s2_d_stage3,flat,1,ball_vy,r2,0.00018042325973510742,10000.0
s2_d_stage3,flat,1,left_paddle_y,r2,-0.0006977319717407227,10000.0
s2_d_stage3,flat,1,right_paddle_y,r2,-0.0011886358261108398,10000.0
s2_d_stage3,flat,1,collision_imminent,auc,0.49971685221488205,100.0
s2_d_stage3,flat,2,ball_x,r2,0.0010735392570495605,100.0
s2_d_stage3,flat,2,ball_y,r2,-5.4955482482910156e-05,10000.0
s2_d_stage3,flat,2,ball_vx,r2,-0.0007170438766479492,10000.0
s2_d_stage3,flat,2,ball_vy,r2,0.0004456043243408203,10000.0
s2_d_stage3,flat,2,left_paddle_y,r2,0.00012177228927612305,10000.0
s2_d_stage3,flat,2,right_paddle_y,r2,-0.001141190528869629,10000.0
s2_d_stage3,flat,2,collision_imminent,auc,0.5034633956548764,1.0
s3_mid,pooled,0,ball_x,r2,-0.0009660720825195312,100.0
s3_mid,pooled,0,ball_y,r2,-0.0008475780487060547,100.0
s3_mid,pooled,0,ball_vx,r2,-0.001554250717163086,100.0
s3_mid,pooled,0,ball_vy,r2,0.00018650293350219727,100.0
s3_mid,pooled,0,left_paddle_y,r2,0.00016170740127563477,100.0
s3_mid,pooled,0,right_paddle_y,r2,-0.0008071660995483398,100.0
s3_mid,pooled,0,collision_imminent,auc,0.5182358920805914,100.0
s3_mid,pooled,1,ball_x,r2,-0.00031054019927978516,100.0
s3_mid,pooled,1,ball_y,r2,-3.612041473388672e-05,10.0
s3_mid,pooled,1,ball_vx,r2,-0.0013005733489990234,100.0
s3_mid,pooled,1,ball_vy,r2,0.00028336048126220703,100.0
s3_mid,pooled,1,left_paddle_y,r2,-0.00017273426055908203,100.0
s3_mid,pooled,1,right_paddle_y,r2,-0.0005415678024291992,100.0
s3_mid,pooled,1,collision_imminent,auc,0.4948432874227495,0.01
s3_mid,pooled,2,ball_x,r2,-8.106231689453125e-05,0.01
s3_mid,pooled,2,ball_y,r2,-0.00035631656646728516,100.0
s3_mid,pooled,2,ball_vx,r2,-0.0006085634231567383,100.0
s3_mid,pooled,2,ball_vy,r2,0.0001990795135498047,100.0
s3_mid,pooled,2,left_paddle_y,r2,0.00013577938079833984,100.0
s3_mid,pooled,2,right_paddle_y,r2,-0.0003771781921386719,100.0
s3_mid,pooled,2,collision_imminent,auc,0.50824085628103,0.1
s3_mid,flat,0,ball_x,r2,-0.024295330047607422,10000.0
s3_mid,flat,0,ball_y,r2,-0.020629405975341797,10000.0
s3_mid,flat,0,ball_vx,r2,-0.022156715393066406,10000.0
s3_mid,flat,0,ball_vy,r2,-0.018494486808776855,10000.0
s3_mid,flat,0,left_paddle_y,r2,-0.023255467414855957,10000.0
s3_mid,flat,0,right_paddle_y,r2,-0.018270373344421387,10000.0
s3_mid,flat,0,collision_imminent,auc,0.49233303445511567,10000.0
s3_mid,flat,1,ball_x,r2,6.943941116333008e-05,10000.0
s3_mid,flat,1,ball_y,r2,-0.0031642913818359375,10000.0
s3_mid,flat,1,ball_vx,r2,-0.003930926322937012,10000.0
s3_mid,flat,1,ball_vy,r2,-0.0019780397415161133,10000.0
s3_mid,flat,1,left_paddle_y,r2,-0.004004836082458496,10000.0
s3_mid,flat,1,right_paddle_y,r2,-0.005055904388427734,10000.0
s3_mid,flat,1,collision_imminent,auc,0.4992077735611667,1000.0
s3_mid,flat,2,ball_x,r2,0.0005723834037780762,1000.0
s3_mid,flat,2,ball_y,r2,-0.0009881258010864258,10000.0
s3_mid,flat,2,ball_vx,r2,-0.0014780759811401367,10000.0
s3_mid,flat,2,ball_vy,r2,0.00040286779403686523,10000.0
s3_mid,flat,2,left_paddle_y,r2,-0.000164031982421875,10000.0
s3_mid,flat,2,right_paddle_y,r2,-0.0023807287216186523,10000.0
s3_mid,flat,2,collision_imminent,auc,0.5030195341591068,1.0
s4_u_stage1,pooled,0,ball_x,r2,-0.00015723705291748047,100.0
s4_u_stage1,pooled,0,ball_y,r2,-0.00014019012451171875,100.0
s4_u_stage1,pooled,0,ball_vx,r2,-5.269050598144531e-05,100.0
s4_u_stage1,pooled,0,ball_vy,r2,-1.6570091247558594e-05,100.0
s4_u_stage1,pooled,0,left_paddle_y,r2,-1.3232231140136719e-05,100.0
s4_u_stage1,pooled,0,right_paddle_y,r2,-9.775161743164062e-06,100.0
s4_u_stage1,pooled,0,collision_imminent,auc,0.4996784713098178,100.0
s4_u_stage1,pooled,1,ball_x,r2,-9.298324584960938e-06,100.0
s4_u_stage1,pooled,1,ball_y,r2,-0.00018656253814697266,100.0
s4_u_stage1,pooled,1,ball_vx,r2,-0.00038111209869384766,100.0
s4_u_stage1,pooled,1,ball_vy,r2,0.00018590688705444336,100.0
s4_u_stage1,pooled,1,left_paddle_y,r2,-9.655952453613281e-05,100.0
s4_u_stage1,pooled,1,right_paddle_y,r2,8.481740951538086e-05,1.0
s4_u_stage1,pooled,1,collision_imminent,auc,0.4959247377794287,0.1
s4_u_stage1,pooled,2,ball_x,r2,-0.0006172657012939453,100.0
s4_u_stage1,pooled,2,ball_y,r2,-2.4557113647460938e-05,1.0
s4_u_stage1,pooled,2,ball_vx,r2,-0.0002486705780029297,100.0
s4_u_stage1,pooled,2,ball_vy,r2,0.0005031228065490723,0.01
s4_u_stage1,pooled,2,left_paddle_y,r2,0.00012880563735961914,1.0
s4_u_stage1,pooled,2,right_paddle_y,r2,-0.0002499818801879883,100.0
s4_u_stage1,pooled,2,collision_imminent,auc,0.5041427072938505,100.0
s5_u_stage3,pooled,0,ball_x,r2,-0.00014650821685791016,100.0
s5_u_stage3,pooled,0,ball_y,r2,-0.00013065338134765625,100.0
s5_u_stage3,pooled,0,ball_vx,r2,-0.00016021728515625,100.0
s5_u_stage3,pooled,0,ball_vy,r2,-3.337860107421875e-05,100.0
s5_u_stage3,pooled,0,left_paddle_y,r2,-2.586841583251953e-05,100.0
s5_u_stage3,pooled,0,right_paddle_y,r2,-2.6345252990722656e-05,100.0
s5_u_stage3,pooled,0,collision_imminent,auc,0.4874731409616209,1.0
s5_u_stage3,pooled,1,ball_x,r2,-1.9073486328125e-06,10.0
s5_u_stage3,pooled,1,ball_y,r2,-0.00017154216766357422,100.0
s5_u_stage3,pooled,1,ball_vx,r2,-0.0003916025161743164,100.0
s5_u_stage3,pooled,1,ball_vy,r2,0.0005606412887573242,0.01
s5_u_stage3,pooled,1,left_paddle_y,r2,-8.130073547363281e-05,100.0
s5_u_stage3,pooled,1,right_paddle_y,r2,6.55055046081543e-05,10.0
s5_u_stage3,pooled,1,collision_imminent,auc,0.4937012782765495,100.0
s5_u_stage3,pooled,2,ball_x,r2,-0.000622868537902832,100.0
s5_u_stage3,pooled,2,ball_y,r2,-6.67572021484375e-06,100.0
s5_u_stage3,pooled,2,ball_vx,r2,-0.00023555755615234375,100.0
s5_u_stage3,pooled,2,ball_vy,r2,0.0005977749824523926,0.01
s5_u_stage3,pooled,2,left_paddle_y,r2,0.00016200542449951172,100.0
s5_u_stage3,pooled,2,right_paddle_y,r2,-0.00023472309112548828,100.0
s5_u_stage3,pooled,2,collision_imminent,auc,0.5047404974853924,100.0
