site,repr,sigma_idx,target,metric,value,alpha
s3_mid,pooled,0,ball_y,r2,0.5314962863922119,1.0
s3_mid,pooled,0,ball_vx,r2,0.06536638736724854,1.0
s3_mid,pooled,0,ball_vy,r2,0.12111896276473999,10.0
s3_mid,pooled,0,left_paddle_y,r2,0.5360901355743408,1.0
s3_mid,pooled,0,right_paddle_y,r2,0.17320913076400757,0.01
s3_mid,pooled,0,collision_imminent,auc,0.8825834231053904,1.0
s3_mid,pooled,1,ball_x,r2,0.5165040493011475,0.01
s3_mid,pooled,1,ball_y,r2,0.6778793334960938,0.1
s3_mid,pooled,1,ball_vx,r2,0.07523882389068604,0.01
s3_mid,pooled,1,ball_vy,r2,0.2313748598098755,1.0
s3_mid,pooled,1,left_paddle_y,r2,0.6781724691390991,1.0
s3_mid,pooled,1,right_paddle_y,r2,0.20289862155914307,0.01
s3_mid,pooled,1,collision_imminent,auc,0.9036601644720095,1.0
s3_mid,pooled,2,ball_x,r2,0.5315806865692139,0.1
s3_mid,pooled,2,ball_y,r2,0.7146740555763245,0.1
s3_mid,pooled,2,ball_vx,r2,0.08672010898590088,0.01
s3_mid,pooled,2,ball_vy,r2,0.2499866485595703,0.1
s3_mid,pooled,2,left_paddle_y,r2,0.7152944803237915,0.1
s3_mid,pooled,2,right_paddle_y,r2,0.2768101692199707,0.01
s3_mid,pooled,2,collision_imminent,auc,0.912265198995797,1.0
s3_mid,flat,0,ball_x,r2,0.8588758707046509,100.0
s3_mid,flat,0,ball_y,r2,0.9833147525787354,100.0
s3_mid,flat,0,ball_vx,r2,0.3656772971153259,1000.0
s3_mid,flat,0,ball_vy,r2,0.7204331159591675,100.0
s3_mid,flat,0,left_paddle_y,r2,0.9867668747901917,100.0
s3_mid,flat,0,right_paddle_y,r2,0.9668565392494202,100.0
s3_mid,flat,0,collision_imminent,auc,0.9967432570553129,100.0
s3_mid,flat,1,ball_x,r2,0.8972465395927429,100.0
s3_mid,flat,1,ball_y,r2,0.9909719228744507,100.0
s3_mid,flat,1,ball_vx,r2,0.41032081842422485,1000.0
s3_mid,flat,1,ball_vy,r2,0.8065639138221741,100.0
s3_mid,flat,1,left_paddle_y,r2,0.9936667084693909,100.0
s3_mid,flat,1,right_paddle_y,r2,0.979843258857727,100.0
s3_mid,flat,1,collision_imminent,auc,0.9986612790586115,100.0
s3_mid,flat,2,ball_x,r2,0.9154699444770813,100.0
s3_mid,flat,2,ball_y,r2,0.9938238263130188,10.0
s3_mid,flat,2,ball_vx,r2,0.43663185834884644,100.0
s3_mid,flat,2,ball_vy,r2,0.8556693196296692,100.0
s3_mid,flat,2,left_paddle_y,r2,0.9961774349212646,10.0
s3_mid,flat,2,right_paddle_y,r2,0.9872361421585083,100.0
s3_mid,flat,2,collision_imminent,auc,0.9993910848081744,100.0
s4_u_stage1,pooled,0,ball_x,r2,0.381924033164978,0.1
s4_u_stage1,pooled,0,ball_y,r2,0.553040087223053,0.1
s4_u_stage1,pooled,0,ball_vx,r2,0.05950695276260376,0.01
s4_u_stage1,pooled,0,ball_vy,r2,0.24304097890853882,1.0
s4_u_stage1,pooled,0,left_paddle_y,r2,0.5522865653038025,0.1
s4_u_stage1,pooled,0,right_paddle_y,r2,0.2880095839500427,0.01
s4_u_stage1,pooled,0,collision_imminent,auc,0.9221641275930872,1.0
s4_u_stage1,pooled,1,ball_x,r2,0.3930968642234802,0.01
