site,repr,sigma_idx,target,metric,value,alpha
s2_d_stage3,flat,1,ball_vx,r2,-0.05152487754821777,10000.0
s2_d_stage3,flat,1,ball_vy,r2,-0.03984534740447998,10000.0
s2_d_stage3,flat,1,left_paddle_y,r2,-0.036167025566101074,10000.0
s2_d_stage3,flat,1,right_paddle_y,r2,-0.040727853775024414,10000.0
s2_d_stage3,flat,1,collision_imminent,auc,0.5101634459450016,100.0
s2_d_stage3,flat,2,ball_x,r2,-0.03480076789855957,10000.0
s2_d_stage3,flat,2,ball_y,r2,-0.03256583213806152,10000.0
s2_d_stage3,flat,2,ball_vx,r2,-0.036042213439941406,10000.0
s2_d_stage3,flat,2,ball_vy,r2,-0.03420078754425049,10000.0
s2_d_stage3,flat,2,left_paddle_y,r2,-0.02970433235168457,10000.0
s2_d_stage3,flat,2,right_paddle_y,r2,-0.031165122985839844,10000.0
s2_d_stage3,flat,2,collision_imminent,auc,0.5179357311238355,1.0
s3_mid,pooled,0,ball_x,r2,-8.738040924072266e-05,100.0
s3_mid,pooled,0,ball_y,r2,-0.0008556842803955078,100.0
s3_mid,pooled,0,ball_vx,r2,-0.0017633438110351562,100.0
s3_mid,pooled,0,ball_vy,r2,-0.0009524822235107422,100.0
s3_mid,pooled,0,left_paddle_y,r2,-0.0037838220596313477,100.0
s3_mid,pooled,0,right_paddle_y,r2,-0.002076864242553711,100.0
s3_mid,pooled,0,collision_imminent,auc,0.49660718875364546,0.01
s3_mid,pooled,1,ball_x,r2,-0.001307845115661621,100.0
s3_mid,pooled,1,ball_y,r2,-0.001975536346435547,100.0
s3_mid,pooled,1,ball_vx,r2,-0.002055048942565918,100.0
s3_mid,pooled,1,ball_vy,r2,-0.0020067691802978516,100.0
s3_mid,pooled,1,left_paddle_y,r2,-0.0031768083572387695,100.0
s3_mid,pooled,1,right_paddle_y,r2,-0.0015950202941894531,100.0
s3_mid,pooled,1,collision_imminent,auc,0.5049922519180832,0.01
s3_mid,pooled,2,ball_x,r2,-0.0012664794921875,100.0
s3_mid,pooled,2,ball_y,r2,-0.002028822898864746,100.0
s3_mid,pooled,2,ball_vx,r2,-0.001869797706604004,100.0
s3_mid,pooled,2,ball_vy,r2,-0.0009558200836181641,1.0
